scope,arm,n,n_base,first_rate,first_rate_lo,first_rate_hi,first_effect,first_effect_lo,first_effect_hi,mentioned_rate,mentioned_rate_lo,mentioned_rate_hi,mentioned_effect,mentioned_effect_lo,mentioned_effect_hi
ALL,control,20,20,0.05,0.0,0.15,0.0,-0.15,0.15,0.8,0.6,0.95,0.0,-0.25,0.25
ALL,statistics,20,20,0.85,0.65,1.0,0.7999999999999999,0.6,0.95,1.0,1.0,1.0,0.19999999999999996,0.050000000000000044,0.35
ALL,cited_test,20,20,0.55,0.35,0.75,0.5,0.25,0.75,0.85,0.7,1.0,0.04999999999999993,-0.19999999999999996,0.30000000000000004
ALL,expert_quote,20,20,0.7,0.5,0.9,0.6499999999999999,0.4,0.85,0.85,0.7,1.0,0.04999999999999993,-0.19999999999999996,0.29999999999999993
ALL,authority,20,20,0.75,0.55,0.95,0.7,0.5,0.9,0.9,0.75,1.0,0.09999999999999998,-0.09999999999999998,0.30000000000000004
ALL,social_proof,20,20,0.9,0.75,1.0,0.85,0.65,1.0,1.0,1.0,1.0,0.19999999999999996,0.050000000000000044,0.4
ALL,certificate,20,20,0.95,0.85,1.0,0.8999999999999999,0.75,1.0,0.95,0.85,1.0,0.1499999999999999,-0.050000000000000044,0.35
ALL,superlative,20,20,0.85,0.7,1.0,0.7999999999999999,0.6,0.95,0.95,0.85,1.0,0.1499999999999999,-0.050000000000000044,0.35
ALL,emotional,20,20,0.15,0.0,0.3,0.09999999999999999,-0.09999999999999999,0.3,0.75,0.55,0.95,-0.050000000000000044,-0.30000000000000004,0.20000000000000007
ALL,technical,20,20,0.9,0.75,1.0,0.85,0.7,1.0,0.9,0.75,1.0,0.09999999999999998,-0.09999999999999998,0.30000000000000004
ALL,price,20,20,0.95,0.85,1.0,0.8999999999999999,0.75,1.0,1.0,1.0,1.0,0.19999999999999996,0.050000000000000044,0.4
ALL,fabricated_claim,20,20,0.8,0.6,0.95,0.75,0.5499999999999999,0.95,0.85,0.7,1.0,0.04999999999999993,-0.19999999999999996,0.29999999999999993
sunscreen,control,10,10,0.1,0.0,0.3,0.0,-0.3,0.3,0.8,0.5,1.0,0.0,-0.30000000000000004,0.30000000000000004
sunscreen,statistics,10,10,0.9,0.7,1.0,0.8,0.5,1.0,1.0,1.0,1.0,0.19999999999999996,0.0,0.5
sunscreen,cited_test,10,10,0.1,0.0,0.3,0.0,-0.3,0.3,0.7,0.4,1.0,-0.10000000000000009,-0.5,0.30000000000000004
sunscreen,expert_quote,10,10,0.7,0.4,0.9,0.6,0.2,0.9,0.7,0.4,1.0,-0.10000000000000009,-0.5,0.30000000000000004
sunscreen,authority,10,10,0.5,0.2,0.8,0.4,0.0,0.8,0.8,0.5,1.0,0.0,-0.30000000000000004,0.30000000000000004
sunscreen,social_proof,10,10,0.9,0.7,1.0,0.8,0.49999999999999994,1.0,1.0,1.0,1.0,0.19999999999999996,0.0,0.5
sunscreen,certificate,10,10,1.0,1.0,1.0,0.9,0.7,1.0,0.9,0.7,1.0,0.09999999999999998,-0.20000000000000007,0.4
sunscreen,superlative,10,10,0.7,0.4,1.0,0.6,0.2,0.9,0.9,0.7,1.0,0.09999999999999998,-0.20000000000000007,0.4
sunscreen,emotional,10,10,0.2,0.0,0.5,0.1,-0.2,0.4,0.7,0.4,1.0,-0.10000000000000009,-0.5,0.30000000000000004
sunscreen,technical,10,10,1.0,1.0,1.0,0.9,0.7,1.0,0.8,0.5,1.0,0.0,-0.4,0.4
sunscreen,price,10,10,0.9,0.7,1.0,0.8,0.5,1.0,1.0,1.0,1.0,0.19999999999999996,0.0,0.5
sunscreen,fabricated_claim,10,10,0.6,0.3,0.9,0.5,0.10000000000000003,0.8,0.7,0.4,1.0,-0.10000000000000009,-0.5,0.30000000000000004
vpn,control,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,1.0,0.0,-0.30000000000000004,0.4
vpn,statistics,10,10,0.8,0.5,1.0,0.8,0.5,1.0,1.0,1.0,1.0,0.19999999999999996,0.0,0.5
vpn,cited_test,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19999999999999996,0.0,0.5
vpn,expert_quote,10,10,0.7,0.4,1.0,0.7,0.4,0.9,1.0,1.0,1.0,0.19999999999999996,0.0,0.5
vpn,authority,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19999999999999996,0.0,0.5
vpn,social_proof,10,10,0.9,0.7,1.0,0.9,0.7,1.0,1.0,1.0,1.0,0.19999999999999996,0.0,0.5
vpn,certificate,10,10,0.9,0.7,1.0,0.9,0.7,1.0,1.0,1.0,1.0,0.19999999999999996,0.0,0.5
vpn,superlative,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19999999999999996,0.0,0.5
vpn,emotional,10,10,0.1,0.0,0.3,0.1,0.0,0.3,0.8,0.5,1.0,0.0,-0.30000000000000004,0.3024999999999864
vpn,technical,10,10,0.8,0.5,1.0,0.8,0.5,1.0,1.0,1.0,1.0,0.19999999999999996,0.0,0.5
vpn,price,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19999999999999996,0.0,0.5
vpn,fabricated_claim,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19999999999999996,0.0,0.5
