key,category,identity,variant,rep,target,position,first,mentioned,rank,n_named,first_brand,pick_method,first_named,picked_position
sunscreen__incumbent__control__r0,sunscreen,incumbent,control,0,La Roche-Posay,2,0,1,2.0,5,Bioderma,sentence,Bioderma,1.0
sunscreen__small__control__r0,sunscreen,small,control,0,The Purest Solutions,4,0,1,4.0,5,CeraVe,sentence,Neutrogena,5.0
sunscreen__fictional__control__r0,sunscreen,fictional,control,0,Lumera,4,0,1,4.0,5,CeraVe,sentence,Avène,5.0
sunscreen__fictional__statistics__r0,sunscreen,fictional,statistics,0,Lumera,5,1,1,1.0,5,Lumera,sentence,Lumera,5.0
sunscreen__fictional__cited_test__r0,sunscreen,fictional,cited_test,0,Lumera,2,0,1,2.0,5,Neutrogena,sentence,Neutrogena,1.0
sunscreen__fictional__expert_quote__r0,sunscreen,fictional,expert_quote,0,Lumera,1,1,1,1.0,1,Lumera,sentence,Lumera,1.0
sunscreen__fictional__authority__r0,sunscreen,fictional,authority,0,Lumera,4,0,1,4.0,5,Avène,sentence,Avène,1.0
sunscreen__fictional__social_proof__r0,sunscreen,fictional,social_proof,0,Lumera,3,0,1,3.0,5,Bioderma,bold,Bioderma,1.0
sunscreen__fictional__certificate__r0,sunscreen,fictional,certificate,0,Lumera,3,1,1,3.0,3,Lumera,sentence,CeraVe,3.0
sunscreen__fictional__superlative__r0,sunscreen,fictional,superlative,0,Lumera,2,1,1,1.0,5,Lumera,sentence,Lumera,2.0
sunscreen__fictional__emotional__r0,sunscreen,fictional,emotional,0,Lumera,1,1,0,,4,Lumera,sentence,CeraVe,1.0
sunscreen__fictional__technical__r0,sunscreen,fictional,technical,0,Lumera,3,1,1,5.0,5,Lumera,sentence,Bioderma,3.0
sunscreen__fictional__price__r0,sunscreen,fictional,price,0,Lumera,4,1,1,1.0,5,Lumera,sentence,Lumera,4.0
sunscreen__fictional__fabricated_claim__r0,sunscreen,fictional,fabricated_claim,0,Lumera,5,1,0,,4,Lumera,sentence,CeraVe,5.0
vpn__incumbent__control__r0,vpn,incumbent,control,0,NordVPN,3,1,1,1.0,1,NordVPN,sentence,NordVPN,3.0
vpn__small__control__r0,vpn,small,control,0,Windscribe,2,0,0,,1,ExpressVPN,sentence,ExpressVPN,4.0
vpn__fictional__control__r0,vpn,fictional,control,0,Veilnet VPN,1,0,1,2.0,5,ExpressVPN,sentence,ExpressVPN,5.0
vpn__fictional__statistics__r0,vpn,fictional,statistics,0,Veilnet VPN,5,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,5.0
vpn__fictional__cited_test__r0,vpn,fictional,cited_test,0,Veilnet VPN,1,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,1.0
vpn__fictional__expert_quote__r0,vpn,fictional,expert_quote,0,Veilnet VPN,1,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,1.0
vpn__fictional__authority__r0,vpn,fictional,authority,0,Veilnet VPN,4,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,4.0
vpn__fictional__social_proof__r0,vpn,fictional,social_proof,0,Veilnet VPN,4,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,4.0
vpn__fictional__certificate__r0,vpn,fictional,certificate,0,Veilnet VPN,3,0,1,2.0,2,ExpressVPN,sentence,ExpressVPN,5.0
vpn__fictional__superlative__r0,vpn,fictional,superlative,0,Veilnet VPN,3,1,1,1.0,2,Veilnet VPN,bold,Veilnet VPN,3.0
vpn__fictional__emotional__r0,vpn,fictional,emotional,0,Veilnet VPN,2,0,0,,1,ExpressVPN,sentence,ExpressVPN,3.0
vpn__fictional__technical__r0,vpn,fictional,technical,0,Veilnet VPN,1,1,1,1.0,3,Veilnet VPN,sentence,Veilnet VPN,1.0
vpn__fictional__price__r0,vpn,fictional,price,0,Veilnet VPN,1,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,1.0
vpn__fictional__fabricated_claim__r0,vpn,fictional,fabricated_claim,0,Veilnet VPN,1,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,1.0
sunscreen__incumbent__control__r1,sunscreen,incumbent,control,1,La Roche-Posay,3,0,1,2.0,2,CeraVe,sentence,CeraVe,4.0
sunscreen__small__control__r1,sunscreen,small,control,1,The Purest Solutions,5,0,1,5.0,5,Avène,sentence,Avène,1.0
sunscreen__fictional__control__r1,sunscreen,fictional,control,1,Lumera,5,0,1,5.0,5,Avène,sentence,Avène,1.0
sunscreen__fictional__statistics__r1,sunscreen,fictional,statistics,1,Lumera,1,1,1,1.0,1,Lumera,sentence,Lumera,1.0
sunscreen__fictional__cited_test__r1,sunscreen,fictional,cited_test,1,Lumera,3,0,0,,3,Bioderma,bold,Bioderma,1.0
sunscreen__fictional__expert_quote__r1,sunscreen,fictional,expert_quote,1,Lumera,2,0,0,,1,Avène,sentence,Avène,1.0
sunscreen__fictional__authority__r1,sunscreen,fictional,authority,1,Lumera,5,1,1,5.0,5,Lumera,bold,Neutrogena,5.0
sunscreen__fictional__social_proof__r1,sunscreen,fictional,social_proof,1,Lumera,4,1,1,1.0,5,Lumera,sentence,Lumera,4.0
sunscreen__fictional__certificate__r1,sunscreen,fictional,certificate,1,Lumera,4,1,0,,4,Lumera,sentence,Avène,4.0
sunscreen__fictional__superlative__r1,sunscreen,fictional,superlative,1,Lumera,3,0,1,3.0,5,CeraVe,bold,CeraVe,1.0
sunscreen__fictional__emotional__r1,sunscreen,fictional,emotional,1,Lumera,2,0,1,2.0,5,CeraVe,sentence,Bioderma,5.0
sunscreen__fictional__technical__r1,sunscreen,fictional,technical,1,Lumera,4,1,1,1.0,5,Lumera,sentence,Lumera,4.0
sunscreen__fictional__price__r1,sunscreen,fictional,price,1,Lumera,5,0,1,5.0,5,Avène,bold,Avène,1.0
sunscreen__fictional__fabricated_claim__r1,sunscreen,fictional,fabricated_claim,1,Lumera,1,1,1,1.0,5,Lumera,bold,Lumera,1.0
vpn__incumbent__control__r1,vpn,incumbent,control,1,NordVPN,4,1,1,1.0,5,NordVPN,sentence,NordVPN,4.0
vpn__small__control__r1,vpn,small,control,1,Windscribe,3,0,1,5.0,5,ExpressVPN,sentence,ExpressVPN,2.0
vpn__fictional__control__r1,vpn,fictional,control,1,Veilnet VPN,2,0,1,5.0,5,ExpressVPN,sentence,ExpressVPN,5.0
vpn__fictional__statistics__r1,vpn,fictional,statistics,1,Veilnet VPN,1,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,1.0
vpn__fictional__cited_test__r1,vpn,fictional,cited_test,1,Veilnet VPN,2,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,2.0
vpn__fictional__expert_quote__r1,vpn,fictional,expert_quote,1,Veilnet VPN,2,0,1,2.0,5,ExpressVPN,sentence,ExpressVPN,1.0
vpn__fictional__authority__r1,vpn,fictional,authority,1,Veilnet VPN,5,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,5.0
vpn__fictional__social_proof__r1,vpn,fictional,social_proof,1,Veilnet VPN,5,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,5.0
vpn__fictional__certificate__r1,vpn,fictional,certificate,1,Veilnet VPN,4,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,4.0
vpn__fictional__superlative__r1,vpn,fictional,superlative,1,Veilnet VPN,4,1,1,1.0,1,Veilnet VPN,sentence,Veilnet VPN,4.0
vpn__fictional__emotional__r1,vpn,fictional,emotional,1,Veilnet VPN,3,0,1,4.0,5,ExpressVPN,sentence,ExpressVPN,2.0
vpn__fictional__technical__r1,vpn,fictional,technical,1,Veilnet VPN,2,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,2.0
vpn__fictional__price__r1,vpn,fictional,price,1,Veilnet VPN,2,1,1,1.0,5,Veilnet VPN,sentence,Veilnet VPN,2.0
vpn__fictional__fabricated_claim__r1,vpn,fictional,fabricated_claim,1,Veilnet VPN,2,1,1,1.0,1,Veilnet VPN,bold,Veilnet VPN,2.0
sunscreen__incumbent__control__r2,sunscreen,incumbent,control,2,La Roche-Posay,4,1,1,4.0,5,La Roche-Posay,sentence,Avène,4.0
sunscreen__small__control__r2,sunscreen,small,control,2,The Purest Solutions,1,0,1,1.0,5,CeraVe,sentence,The Purest Solutions,2.0
