scope,position,n,share,share_lo,share_hi
ALL,1,279,0.34408602150537637,0.2903225806451613,0.4050179211469534
ALL,2,279,0.13978494623655913,0.1003584229390681,0.17921146953405018
ALL,3,279,0.14336917562724014,0.1039426523297491,0.1827956989247312
ALL,4,279,0.1863799283154122,0.13978494623655913,0.23297491039426524
ALL,5,279,0.1863799283154122,0.14336917562724014,0.23297491039426524
sunscreen,1,139,0.460431654676259,0.381294964028777,0.5467625899280576
sunscreen,2,139,0.11510791366906475,0.06474820143884892,0.17266187050359713
sunscreen,3,139,0.10071942446043165,0.057374100719424476,0.1510791366906475
sunscreen,4,139,0.15827338129496402,0.10071942446043165,0.22302158273381295
sunscreen,5,139,0.16546762589928057,0.1079136690647482,0.2302158273381295
vpn,1,140,0.22857142857142856,0.16428571428571428,0.3
vpn,2,140,0.16428571428571428,0.10714285714285714,0.22857142857142856
vpn,3,140,0.18571428571428572,0.12142857142857143,0.25
vpn,4,140,0.21428571428571427,0.14285714285714285,0.2785714285714286
vpn,5,140,0.20714285714285716,0.14285714285714285,0.2785714285714286
