scope,sentence,appearances,wins,share,share_lo,share_hi
ALL,control,60,0,0.0,0.0,0.0
ALL,statistics,60,13,0.21666666666666667,0.11290322580645161,0.32259305210918104
ALL,cited_test,60,2,0.03333333333333333,0.0,0.08333333333333333
ALL,expert_quote,60,9,0.15,0.06552172781680979,0.25396825396825395
ALL,authority,60,16,0.26666666666666666,0.15490249187432284,0.3770491803278688
ALL,social_proof,60,2,0.03333333333333333,0.0,0.08928571428571429
ALL,certificate,60,14,0.23333333333333334,0.12726551226551225,0.3442622950819672
ALL,superlative,60,8,0.13333333333333333,0.05555555555555555,0.22729266347687388
ALL,emotional,60,2,0.03333333333333333,0.0,0.08512158054711237
ALL,technical,60,40,0.6666666666666666,0.5438345864661654,0.784642857142857
ALL,price,60,30,0.5,0.375,0.6316548582995947
ALL,fabricated_claim,60,18,0.3,0.1875,0.42105263157894735
ALL,filler,60,2,0.03333333333333333,0.0,0.0847457627118644
sunscreen,control,30,0,0.0,0.0,0.0
sunscreen,statistics,30,6,0.2,0.06896551724137931,0.375
sunscreen,cited_test,30,1,0.03333333333333333,0.0,0.10810810810810811
sunscreen,expert_quote,30,8,0.26666666666666666,0.11428571428571428,0.43753810975609736
sunscreen,authority,30,9,0.3,0.12903225806451613,0.47225877192982435
sunscreen,social_proof,30,2,0.06666666666666667,0.0,0.16666666666666666
sunscreen,certificate,30,11,0.36666666666666664,0.2,0.5555555555555556
sunscreen,superlative,30,0,0.0,0.0,0.0
sunscreen,emotional,30,2,0.06666666666666667,0.0,0.16003225806451596
sunscreen,technical,30,22,0.7333333333333333,0.5625,0.8888888888888888
sunscreen,price,30,12,0.4,0.22580645161290322,0.5789898132427842
sunscreen,fabricated_claim,30,3,0.1,0.0,0.2222222222222222
sunscreen,filler,30,2,0.06666666666666667,0.0,0.16666666666666666
vpn,control,30,0,0.0,0.0,0.0
vpn,statistics,30,7,0.23333333333333334,0.0967741935483871,0.39285714285714285
vpn,cited_test,30,1,0.03333333333333333,0.0,0.1111111111111111
vpn,expert_quote,30,1,0.03333333333333333,0.0,0.1111111111111111
vpn,authority,30,7,0.23333333333333334,0.09090909090909091,0.39134316770186317
vpn,social_proof,30,0,0.0,0.0,0.0
vpn,certificate,30,3,0.1,0.0,0.21875
vpn,superlative,30,8,0.26666666666666666,0.10709586466165413,0.4375
vpn,emotional,30,0,0.0,0.0,0.0
vpn,technical,30,18,0.6,0.41935483870967744,0.7741935483870968
vpn,price,30,18,0.6,0.4090909090909091,0.7741935483870968
vpn,fabricated_claim,30,15,0.5,0.3180844155844156,0.6896551724137931
vpn,filler,30,0,0.0,0.0,0.0
