scope,arm,n,n_base,first_rate,first_rate_lo,first_rate_hi,first_effect,first_effect_lo,first_effect_hi,mentioned_rate,mentioned_rate_lo,mentioned_rate_hi,mentioned_effect,mentioned_effect_lo,mentioned_effect_hi
ALL,control,20,20,0.1,0.0,0.25,0.0,-0.15000000000000002,0.2,0.85,0.7,1.0,0.0,-0.20000000000000007,0.25
ALL,statistics,20,20,1.0,1.0,1.0,0.9,0.75,1.0,1.0,1.0,1.0,0.15000000000000002,0.0,0.30000000000000004
ALL,cited_test,20,20,0.9,0.75,1.0,0.8,0.6,0.95,1.0,1.0,1.0,0.15000000000000002,0.0,0.35
ALL,expert_quote,20,20,0.95,0.85,1.0,0.85,0.65,1.0,1.0,1.0,1.0,0.15000000000000002,0.0,0.30000000000000004
ALL,authority,20,20,1.0,1.0,1.0,0.9,0.75,1.0,1.0,1.0,1.0,0.15000000000000002,0.0,0.35
ALL,social_proof,20,20,0.85,0.65,1.0,0.75,0.5499999999999999,0.95,1.0,1.0,1.0,0.15000000000000002,0.0,0.30000000000000004
ALL,certificate,20,20,0.95,0.85,1.0,0.85,0.65,1.0,1.0,1.0,1.0,0.15000000000000002,0.0,0.30124999999999325
ALL,superlative,20,20,1.0,1.0,1.0,0.9,0.75,1.0,1.0,1.0,1.0,0.15000000000000002,0.0,0.30000000000000004
ALL,emotional,20,20,0.85,0.7,1.0,0.75,0.5,0.95,0.95,0.85,1.0,0.09999999999999998,-0.09999999999999998,0.30000000000000004
ALL,technical,20,20,1.0,1.0,1.0,0.9,0.75,1.0,1.0,1.0,1.0,0.15000000000000002,0.0,0.30000000000000004
ALL,price,20,20,0.95,0.85,1.0,0.85,0.65,1.0,1.0,1.0,1.0,0.15000000000000002,0.0,0.30000000000000004
ALL,fabricated_claim,20,20,1.0,1.0,1.0,0.9,0.75,1.0,1.0,1.0,1.0,0.15000000000000002,0.0,0.30000000000000004
sunscreen,control,10,10,0.1,0.0,0.3,0.0,-0.3,0.3,0.9,0.7,1.0,0.0,-0.30000000000000004,0.30000000000000004
sunscreen,statistics,10,10,1.0,1.0,1.0,0.9,0.7,1.0,1.0,1.0,1.0,0.09999999999999998,0.0,0.30000000000000004
sunscreen,cited_test,10,10,1.0,1.0,1.0,0.9,0.7,1.0,1.0,1.0,1.0,0.09999999999999998,0.0,0.30000000000000004
sunscreen,expert_quote,10,10,0.9,0.7,1.0,0.8,0.5,1.0,1.0,1.0,1.0,0.09999999999999998,0.0,0.30000000000000004
sunscreen,authority,10,10,1.0,1.0,1.0,0.9,0.7,1.0,1.0,1.0,1.0,0.09999999999999998,0.0,0.30000000000000004
sunscreen,social_proof,10,10,0.9,0.7,1.0,0.8,0.5,1.0,1.0,1.0,1.0,0.09999999999999998,0.0,0.30000000000000004
sunscreen,certificate,10,10,0.9,0.7,1.0,0.8,0.5,1.0,1.0,1.0,1.0,0.09999999999999998,0.0,0.30000000000000004
sunscreen,superlative,10,10,1.0,1.0,1.0,0.9,0.7,1.0,1.0,1.0,1.0,0.09999999999999998,0.0,0.30000000000000004
sunscreen,emotional,10,10,0.9,0.7,1.0,0.8,0.5,1.0,1.0,1.0,1.0,0.09999999999999998,0.0,0.30000000000000004
sunscreen,technical,10,10,1.0,1.0,1.0,0.9,0.7,1.0,1.0,1.0,1.0,0.09999999999999998,0.0,0.30000000000000004
sunscreen,price,10,10,1.0,1.0,1.0,0.9,0.7,1.0,1.0,1.0,1.0,0.09999999999999998,0.0,0.30000000000000004
sunscreen,fabricated_claim,10,10,1.0,1.0,1.0,0.9,0.7,1.0,1.0,1.0,1.0,0.09999999999999998,0.0,0.30000000000000004
vpn,control,10,10,0.1,0.0,0.3,0.0,-0.3,0.3,0.8,0.5,1.0,0.0,-0.30000000000000004,0.30000000000000004
vpn,statistics,10,10,1.0,1.0,1.0,0.9,0.7,1.0,1.0,1.0,1.0,0.19999999999999996,0.0,0.5
vpn,cited_test,10,10,0.8,0.5,1.0,0.7000000000000001,0.39999999999999997,1.0,1.0,1.0,1.0,0.19999999999999996,0.0,0.5
vpn,expert_quote,10,10,1.0,1.0,1.0,0.9,0.7,1.0,1.0,1.0,1.0,0.19999999999999996,0.0,0.5
vpn,authority,10,10,1.0,1.0,1.0,0.9,0.7,1.0,1.0,1.0,1.0,0.19999999999999996,0.0,0.5
vpn,social_proof,10,10,0.8,0.5,1.0,0.7000000000000001,0.30000000000000004,1.0,1.0,1.0,1.0,0.19999999999999996,0.0,0.5
vpn,certificate,10,10,1.0,1.0,1.0,0.9,0.7,1.0,1.0,1.0,1.0,0.19999999999999996,0.0,0.5
vpn,superlative,10,10,1.0,1.0,1.0,0.9,0.7,1.0,1.0,1.0,1.0,0.19999999999999996,0.0,0.5
vpn,emotional,10,10,0.8,0.5,1.0,0.7000000000000001,0.39999999999999997,1.0,0.9,0.7,1.0,0.09999999999999998,-0.20000000000000007,0.4
vpn,technical,10,10,1.0,1.0,1.0,0.9,0.7,1.0,1.0,1.0,1.0,0.19999999999999996,0.0,0.5
vpn,price,10,10,0.9,0.7,1.0,0.8,0.5,1.0,1.0,1.0,1.0,0.19999999999999996,0.0,0.5
vpn,fabricated_claim,10,10,1.0,1.0,1.0,0.9,0.7,1.0,1.0,1.0,1.0,0.19999999999999996,0.0,0.5
