scope,position,n,share,share_lo,share_hi
ALL,1,280,0.32142857142857145,0.26785714285714285,0.37857142857142856
ALL,2,280,0.17857142857142858,0.1392857142857143,0.225
ALL,3,280,0.16785714285714284,0.125,0.21071428571428572
ALL,4,280,0.16428571428571428,0.12142857142857143,0.20714285714285716
ALL,5,280,0.16785714285714284,0.125,0.21428571428571427
sunscreen,1,140,0.32857142857142857,0.25,0.40714285714285714
sunscreen,2,140,0.17857142857142858,0.12142857142857143,0.24285714285714285
sunscreen,3,140,0.15714285714285714,0.1,0.21428571428571427
sunscreen,4,140,0.17142857142857143,0.11428571428571428,0.2357142857142857
sunscreen,5,140,0.16428571428571428,0.10714285714285714,0.22857142857142856
vpn,1,140,0.3142857142857143,0.2357142857142857,0.39285714285714285
vpn,2,140,0.17857142857142858,0.11428571428571428,0.24285714285714285
vpn,3,140,0.17857142857142858,0.11428571428571428,0.24285714285714285
vpn,4,140,0.15714285714285714,0.1,0.22142857142857142
vpn,5,140,0.17142857142857143,0.11428571428571428,0.2357142857142857
