scope,sentence,appearances,wins,share,share_lo,share_hi
ALL,control,60,0,0.0,0.0,0.0
ALL,statistics,60,22,0.36666666666666664,0.25,0.4909090909090909
ALL,cited_test,60,19,0.31666666666666665,0.20338320974576274,0.4444444444444444
ALL,expert_quote,60,6,0.1,0.03278688524590164,0.1774193548387097
ALL,authority,60,8,0.13333333333333333,0.05084745762711865,0.22950819672131148
ALL,social_proof,60,14,0.23333333333333334,0.13039971949509116,0.3492063492063492
ALL,certificate,60,4,0.06666666666666667,0.014925373134328358,0.13335820895522374
ALL,superlative,60,12,0.2,0.10606060606060606,0.3064826302729527
ALL,emotional,60,2,0.03333333333333333,0.0,0.08333333333333333
ALL,technical,60,21,0.35,0.2294523099850969,0.4681254029658283
ALL,price,60,21,0.35,0.22855889724310777,0.4745971103084189
ALL,fabricated_claim,60,27,0.45,0.3225669764898852,0.5818560606060603
ALL,filler,60,0,0.0,0.0,0.0
sunscreen,control,30,0,0.0,0.0,0.0
sunscreen,statistics,30,12,0.4,0.22580645161290322,0.5715659340659333
sunscreen,cited_test,30,2,0.06666666666666667,0.0,0.1724137931034483
sunscreen,expert_quote,30,4,0.13333333333333333,0.03125,0.26319659442724436
sunscreen,authority,30,2,0.06666666666666667,0.0,0.16678571428571362
sunscreen,social_proof,30,12,0.4,0.22580645161290322,0.5757575757575758
sunscreen,certificate,30,1,0.03333333333333333,0.0,0.1111111111111111
sunscreen,superlative,30,6,0.2,0.06896551724137931,0.35714285714285715
sunscreen,emotional,30,0,0.0,0.0,0.0
sunscreen,technical,30,18,0.6,0.4165948275862069,0.7714285714285715
sunscreen,price,30,11,0.36666666666666664,0.20689655172413793,0.5484274193548384
sunscreen,fabricated_claim,30,10,0.3333333333333333,0.16653225806451613,0.500357142857141
sunscreen,filler,30,0,0.0,0.0,0.0
vpn,control,30,0,0.0,0.0,0.0
vpn,statistics,30,10,0.3333333333333333,0.17387556221889056,0.5161290322580645
vpn,cited_test,30,17,0.5666666666666667,0.37920258620689656,0.7419354838709677
vpn,expert_quote,30,2,0.06666666666666667,0.0,0.16666666666666666
vpn,authority,30,6,0.2,0.06896551724137931,0.34615384615384615
vpn,social_proof,30,2,0.06666666666666667,0.0,0.16666666666666666
vpn,certificate,30,3,0.1,0.0,0.21433397683397656
vpn,superlative,30,6,0.2,0.06666666666666667,0.35294117647058826
vpn,emotional,30,2,0.06666666666666667,0.0,0.16129032258064516
vpn,technical,30,3,0.1,0.0,0.2222222222222222
vpn,price,30,10,0.3333333333333333,0.1724137931034483,0.5185185185185185
vpn,fabricated_claim,30,17,0.5666666666666667,0.3870967741935484,0.7421370967741925
vpn,filler,30,0,0.0,0.0,0.0
