scope,position,n,share,share_lo,share_hi
ALL,1,280,0.3392857142857143,0.28214285714285714,0.3964285714285714
ALL,2,280,0.17142857142857143,0.12857142857142856,0.21785714285714286
ALL,3,280,0.15357142857142858,0.11071428571428571,0.19642857142857142
ALL,4,280,0.15714285714285714,0.11428571428571428,0.2
ALL,5,280,0.17857142857142858,0.1357142857142857,0.225
sunscreen,1,140,0.3357142857142857,0.2571428571428571,0.4073214285714276
sunscreen,2,140,0.16428571428571428,0.10714285714285714,0.22857142857142856
sunscreen,3,140,0.15,0.09285714285714286,0.20714285714285716
sunscreen,4,140,0.15714285714285714,0.1,0.22142857142857142
sunscreen,5,140,0.19285714285714287,0.12857142857142856,0.2642857142857143
vpn,1,140,0.34285714285714286,0.2642857142857143,0.42142857142857143
vpn,2,140,0.17857142857142858,0.11428571428571428,0.24285714285714285
vpn,3,140,0.15714285714285714,0.1,0.21428571428571427
vpn,4,140,0.15714285714285714,0.1,0.22142857142857142
vpn,5,140,0.16428571428571428,0.10714285714285714,0.22857142857142856
