category,condition,model_id,target,n_brands,n_events,n_never_named,independent_query_groups,n_eff,n_eff_lo,n_eff_hi,top3_share,top3_share_lo,top3_share_hi,hhi_normalised,hhi_normalised_lo,hhi_normalised_hi,track
editors,search_off,claude-opus-4-6,y_mention,30,2737,4,10,13.583237383069111,11.071805819685956,15.52633106917808,0.31055900621118016,0.2649437470675496,0.377254514973217,0.041676019249902926,0.03214487894223532,0.05895121018758695,en
editors,search_off,gpt-5.4,y_mention,30,2057,2,9,14.634062745342176,10.768884149565324,16.80889393619983,0.32766164316966456,0.27085580067544673,0.4343448610397763,0.03620730036173145,0.02706101472668282,0.061579450658088716,en
editors,search_off,grok-4.20-0309-reasoning,y_mention,30,2180,2,10,14.347041171817924,11.28811731226334,15.9310848540978,0.3357798165137615,0.30217260574420307,0.406699138858988,0.03762149940937283,0.030452102267155536,0.05716075744312557,en
editors,search_off,zai-org/GLM-5,y_mention,30,2459,2,10,14.040856939177848,11.612287867195956,15.710684048508067,0.3086620577470517,0.29006140656109947,0.3612316320292431,0.039193852650393,0.03136305408675887,0.05460242347091633,en
editors,search_off,ALL,y_mention,30,9433,0,10,14.677124176322456,12.095457202975853,16.660936823910717,0.3118838121488392,0.27836342215468934,0.3754998776685011,0.03599990175562207,0.027607553209132368,0.05104379648206469,en
editors,search_on,claude-opus-4-6,y_mention,30,2752,3,10,15.032759031361651,12.209425848677691,16.83404763714783,0.2714389534883721,0.2510634211933912,0.33888130912557834,0.03433247060386789,0.02696905506620507,0.05024544842627791,en
editors,search_on,gpt-5.4,y_mention,30,2096,2,10,14.59443226363697,10.664014907788598,17.06052660368337,0.33540076335877866,0.27684190633122124,0.4254264695328861,0.03639925583068264,0.026153281099056316,0.06252411702939484,en
editors,search_on,grok-4.20-0309-reasoning,y_mention,30,2166,1,10,13.485590438466891,10.547243548564316,15.029847686832888,0.33748845798707294,0.30495824584844433,0.42105263157894735,0.0422274724471237,0.03434580056685551,0.0635981061571008,en
editors,search_on,zai-org/GLM-5,y_mention,30,2259,0,10,13.780230017903486,11.13322443058621,15.370812270000188,0.3240371845949535,0.2949377481830533,0.39933675658922113,0.04058730604997795,0.03281900431011523,0.058435763779842075,en
editors,search_on,ALL,y_mention,30,9273,0,10,14.769771074079083,11.852988021524903,16.779682248422077,0.30723606168446027,0.27820363079480853,0.3817003220878802,0.035557782524609796,0.027168159932099686,0.05279335874740018,en
hosting,search_off,claude-opus-4-6,y_mention,36,2850,6,10,17.743316629457944,12.899853557183674,20.997712930685847,0.24526315789473685,0.20931775103598663,0.3153696768810511,0.029398084685397712,0.02041350147170315,0.051163695867253,en
hosting,search_off,gpt-5.4,y_mention,36,2368,4,9,17.365714675040724,12.540268748021024,21.801325163789045,0.2466216216216216,0.20553839273795463,0.33469475928346876,0.030658579972346865,0.018607879355029052,0.05345005456732835,en
hosting,search_off,grok-4.20-0309-reasoning,y_mention,36,2545,1,10,18.885822420886583,13.23817688011614,22.325898030626615,0.2605108055009823,0.19965631877420056,0.3545317369497467,0.025891194535410056,0.017499347327907373,0.04912595019475708,en
hosting,search_off,zai-org/GLM-5,y_mention,36,2538,2,10,19.003215661747785,14.27132128740795,21.381566194255985,0.23995271867612294,0.21949501895043447,0.30564507848683525,0.02555474917026147,0.019534094912539962,0.04350118671012924,en
hosting,search_off,ALL,y_mention,36,10301,1,10,18.919769647626413,14.104593516197555,22.731366945632644,0.2371614406368314,0.2039852065751277,0.3046305901337022,0.02579347373595594,0.0166775631444143,0.04435314303058396,en
hosting,search_on,claude-opus-4-6,y_mention,36,2728,1,10,22.446038304931385,17.170838203818093,23.498207534898853,0.19574780058651026,0.18745332337565346,0.27844040753133154,0.017252757175659456,0.015200907142514722,0.031330797790984535,en
hosting,search_on,gpt-5.4,y_mention,36,1899,5,10,16.303561175635537,11.174553667780586,19.898057238310635,0.28962611901000523,0.2303370786516854,0.39091022025449057,0.03451732961402555,0.02312062533274378,0.06347443384573405,en
hosting,search_on,grok-4.20-0309-reasoning,y_mention,36,2266,5,10,20.445628369607633,14.093260615279812,22.807995631942,0.2325684024713151,0.19279226405235925,0.32258477657324164,0.021736217150059602,0.016525538540851484,0.04441178571102012,en
hosting,search_on,zai-org/GLM-5,y_mention,36,2053,2,10,20.185770183092995,14.547823093002755,21.925930145478986,0.23234291281052122,0.19846301018841317,0.32056548739445845,0.022383844338243697,0.018339761687998685,0.04213135108348003,en
hosting,search_on,ALL,y_mention,36,8946,0,10,20.75966481942437,15.380588216928315,22.972433094061508,0.2221104404202996,0.1929880739224965,0.30061580623688794,0.020975201276323914,0.0162027328931302,0.0383032197908157,en
travel,search_off,claude-opus-4-6,y_mention,27,2130,0,10,13.108260379648089,8.538094012447727,15.77036823974309,0.3807511737089202,0.2962849769084488,0.49645693675313324,0.04076038026643066,0.027387377963405242,0.0831653246532546,en
travel,search_off,gpt-5.4,y_mention,27,1641,2,10,10.054403709802079,5.876561976933512,13.874930180622753,0.46435100548446073,0.3347335918425966,0.6434577772073223,0.06482271075247888,0.03638291958896889,0.13825092043572204,en
travel,search_off,grok-4.20-0309-reasoning,y_mention,27,1848,1,10,11.22060717571297,7.187256145053382,14.084334818755329,0.4458874458874459,0.3361646556438503,0.5943396226415094,0.05408795749704841,0.03527013250061293,0.10602497468173849,en
