group,n_brands,mention_off,mention_on,retrieval_gain,retrieval_gain_lo,retrieval_gain_hi,independent_query_groups,category,track
düşük,10,0.042833333333333334,0.05075,0.007916666666666666,-0.010168749999999999,0.02758541666666665,10,editors,en
orta,10,0.14400000000000002,0.16283333333333333,0.018833333333333323,-0.004916666666666672,0.041918749999999984,10,editors,en
yüksek,10,0.5992500000000001,0.5591666666666666,-0.04008333333333335,-0.09458958333333335,0.021168749999999993,10,editors,en
düşük,12,0.034444444444444444,0.06121965452847806,0.02677521008403362,0.011766865079365078,0.041736111111111106,10,hosting,en
orta,12,0.15708333333333335,0.1555689775910364,-0.0015143557422969214,-0.04210422502334267,0.028743055555555556,10,hosting,en
yüksek,12,0.5238194444444444,0.40560399159663874,-0.11821545284780575,-0.14468195611577964,-0.09052930964052289,10,hosting,en
düşük,9,0.0437962962962963,0.06222222222222223,0.01842592592592593,-0.007872685185185186,0.03981481481481481,10,travel,en
orta,9,0.12462962962962962,0.11638888888888888,-0.008240740740740738,-0.02963194444444445,0.01574537037037034,10,travel,en
yüksek,9,0.49666666666666676,0.5244444444444444,0.02777777777777777,-0.009541666666666664,0.07537499999999998,10,travel,en
düşük,8,0.00010416666666666666,0.0037310606060606054,0.003626893939393939,-0.00020833333333333332,0.010776515151515152,10,vpn,en
orta,8,0.017604166666666664,0.010937500000000001,-0.006666666666666666,-0.012710937500000002,0.0007317708333333195,10,vpn,en
yüksek,8,0.5007291666666667,0.5384371789933231,0.03770801232665639,-0.010011837121212126,0.0969528962827426,10,vpn,en
düşük,24,0.01,0.06333333333333334,0.05333333333333334,0.017777777777777778,0.09333333333333332,5,cosmetics,tr
orta,25,0.06186666666666667,0.08693333333333333,0.025066666666666664,0.008533333333333335,0.04053333333333333,5,cosmetics,tr
yüksek,25,0.24266666666666661,0.2304,-0.01226666666666667,-0.051733333333333346,0.032,5,cosmetics,tr
düşük,8,0.0,0.011666666666666665,0.011666666666666665,0.005,0.02,5,vpn,tr
orta,8,0.02333333333333333,0.034999999999999996,0.011666666666666667,-0.009999999999999998,0.03333333333333334,5,vpn,tr
yüksek,8,0.41500000000000004,0.51,0.09499999999999995,0.05499999999999999,0.14833333333333332,5,vpn,tr
