target,model,domain,feature,pr_auc_drop
y_top,general,editors,in_search_results,0.0
y_top,general,editors,n_results_mentioning,0.1753399530412223
y_top,general,editors,best_position,0.06574562734918271
y_top,general,editors,best_position_missing,0.0
y_top,general,editors,n_official,0.0015319090763971273
y_top,general,editors,n_editorial,0.00679838634194313
y_top,general,editors,n_affiliate,0.0006001831572163644
y_top,general,editors,n_forum,0.052505409124854095
y_top,general,editors,n_retailer,0.0
y_top,general,editors,n_unknown,-0.012331439305063788
y_top,general,editors,lex_authority,-0.00966993739098948
y_top,general,editors,lex_social_proof,-0.05922402832630236
y_top,general,editors,lex_specificity,-7.897088631803051e-06
y_top,general,editors,lex_hedging,-0.0033546165428784227
y_top,general,editors,lex_superlative,-0.001801832160689687
y_top,general,editors,snippet_words,0.12218741235054205
y_top,general,editors,snippet_has_year,0.004597709762237279
y_top,general,editors,snippet_digit_share,0.04750602927115485
y_top,general,editors,model_id,0.01567775755973196
y_top,general,hosting,in_search_results,0.0
y_top,general,hosting,n_results_mentioning,0.07729512640257485
y_top,general,hosting,best_position,-0.0017515779177641189
y_top,general,hosting,best_position_missing,0.0
y_top,general,hosting,n_official,-0.007639745556981474
y_top,general,hosting,n_editorial,0.0007850948242676773
y_top,general,hosting,n_affiliate,2.2305693993705338e-05
y_top,general,hosting,n_forum,0.007281911486603611
y_top,general,hosting,n_retailer,0.0
y_top,general,hosting,n_unknown,0.013756160089356465
y_top,general,hosting,lex_authority,0.00016942059170035884
y_top,general,hosting,lex_social_proof,-0.004847071553798006
y_top,general,hosting,lex_specificity,0.00579350088308921
y_top,general,hosting,lex_hedging,0.002172199256296109
y_top,general,hosting,lex_superlative,-0.00422490486059926
y_top,general,hosting,snippet_words,0.005478096370244295
y_top,general,hosting,snippet_has_year,0.006691789757499345
y_top,general,hosting,snippet_digit_share,0.007171770235629584
y_top,general,hosting,model_id,-0.003729395735621116
y_top,general,travel,in_search_results,0.0
y_top,general,travel,n_results_mentioning,0.10619775155089832
y_top,general,travel,best_position,0.017175671406382004
y_top,general,travel,best_position_missing,0.0
y_top,general,travel,n_official,-0.00204583996850786
y_top,general,travel,n_editorial,0.0018569260457134789
y_top,general,travel,n_affiliate,0.0023034089706574314
y_top,general,travel,n_forum,0.021302256827049098
y_top,general,travel,n_retailer,0.0
y_top,general,travel,n_unknown,0.00871896588626947
y_top,general,travel,lex_authority,-0.0026227213766512047
y_top,general,travel,lex_social_proof,-0.0019141683854588625
y_top,general,travel,lex_specificity,-0.00015018366991526957
y_top,general,travel,lex_hedging,0.0017289556195439204
y_top,general,travel,lex_superlative,0.012434743496179032
y_top,general,travel,snippet_words,0.027433983483714158
y_top,general,travel,snippet_has_year,0.003014370938224551
y_top,general,travel,snippet_digit_share,0.02970048287820797
y_top,general,travel,model_id,-0.002928518895103186
y_top,general,vpn,in_search_results,0.0
y_top,general,vpn,n_results_mentioning,0.04578179923163609
y_top,general,vpn,best_position,-0.006373747751130625
y_top,general,vpn,best_position_missing,0.0
y_top,general,vpn,n_official,0.0017126873942056957
y_top,general,vpn,n_editorial,-0.06897679363413307
y_top,general,vpn,n_affiliate,-0.007601159121673732
y_top,general,vpn,n_forum,0.042946865474878894
y_top,general,vpn,n_retailer,-3.962464194756654e-05
y_top,general,vpn,n_unknown,0.0043043852993291205
y_top,general,vpn,lex_authority,9.755945081972121e-05
y_top,general,vpn,lex_social_proof,4.1858236057549604e-05
y_top,general,vpn,lex_specificity,0.0013247835423670733
y_top,general,vpn,lex_hedging,-0.006141214640988805
y_top,general,vpn,lex_superlative,-0.03664349958220947
y_top,general,vpn,snippet_words,-0.0287450696018063
y_top,general,vpn,snippet_has_year,-0.0037089435142704983
y_top,general,vpn,snippet_digit_share,-0.03886896166691942
y_top,general,vpn,model_id,-0.0042538867309360184
y_top,invariant,editors,in_search_results,0.0
y_top,invariant,editors,volume_share,0.027850985296051196
y_top,invariant,editors,volume_vs_leader,0.4273391794259496
y_top,invariant,editors,volume_rank_pct,0.3717280873911524
y_top,invariant,editors,is_top_retrieved,-0.0002299913382935633
y_top,invariant,editors,position_rank_pct,0.12461092692216251
y_top,invariant,editors,share_official,0.009630290687868323
y_top,invariant,editors,share_editorial,-0.0007613818754244791
y_top,invariant,editors,share_affiliate,-0.0008244576834338287
y_top,invariant,editors,share_forum,0.043191471136035865
y_top,invariant,editors,share_retailer,0.0
y_top,invariant,editors,share_unknown,0.03734449821307961
y_top,invariant,editors,lex_authority_pct,0.009465653830002566
y_top,invariant,editors,lex_social_proof_pct,0.024377948141585375
y_top,invariant,editors,lex_specificity_pct,-0.0005273753445494597
y_top,invariant,editors,lex_hedging_pct,0.010773958220091973
y_top,invariant,editors,lex_superlative_pct,-0.0031887975441140526
y_top,invariant,editors,snippet_words_pct,0.004181356629802198
y_top,invariant,editors,snippet_has_year_pct,0.007419139358970983
y_top,invariant,editors,snippet_digit_share_pct,-0.013623274961740872
y_top,invariant,editors,model_id,0.016359537978441696
y_top,invariant,hosting,in_search_results,0.0008058866785748223
y_top,invariant,hosting,volume_share,0.013678828118484218
y_top,invariant,hosting,volume_vs_leader,0.13564952256304727
y_top,invariant,hosting,volume_rank_pct,0.1746741968184764
y_top,invariant,hosting,is_top_retrieved,-0.0036441280196515637
y_top,invariant,hosting,position_rank_pct,0.029716777140736245
y_top,invariant,hosting,share_official,-0.017562660327491098
y_top,invariant,hosting,share_editorial,-0.004067881775453364
y_top,invariant,hosting,share_affiliate,-0.0008413259574713098
y_top,invariant,hosting,share_forum,0.00420871212698017
y_top,invariant,hosting,share_retailer,0.0
y_top,invariant,hosting,share_unknown,0.016007466188335057
y_top,invariant,hosting,lex_authority_pct,-0.0018545485057030648
y_top,invariant,hosting,lex_social_proof_pct,0.013594475720188884
y_top,invariant,hosting,lex_specificity_pct,0.002660733716402038
y_top,invariant,hosting,lex_hedging_pct,-0.0010754150624392074
y_top,invariant,hosting,lex_superlative_pct,0.0005371592085243552
y_top,invariant,hosting,snippet_words_pct,0.0012396426880381302
y_top,invariant,hosting,snippet_has_year_pct,-0.001209530251202906
y_top,invariant,hosting,snippet_digit_share_pct,0.0006499947186620614
y_top,invariant,hosting,model_id,-0.0001997203732181004
y_top,invariant,travel,in_search_results,-0.0003497092446379339
y_top,invariant,travel,volume_share,-0.04490231157078154
y_top,invariant,travel,volume_vs_leader,0.21174764517681877
y_top,invariant,travel,volume_rank_pct,0.20632679803784312
y_top,invariant,travel,is_top_retrieved,0.0038309196773855803
y_top,invariant,travel,position_rank_pct,0.034345413652512626
y_top,invariant,travel,share_official,0.010854912531752137
y_top,invariant,travel,share_editorial,-0.07112815409092481
y_top,invariant,travel,share_affiliate,0.0003203803708735631
y_top,invariant,travel,share_forum,0.01467809349575396
y_top,invariant,travel,share_retailer,0.0
y_top,invariant,travel,share_unknown,0.0013744745150059041
y_top,invariant,travel,lex_authority_pct,0.0006805050000794713
y_top,invariant,travel,lex_social_proof_pct,0.0033027855487686906
y_top,invariant,travel,lex_specificity_pct,0.004358931781821081
y_top,invariant,travel,lex_hedging_pct,0.006123365714845693
y_top,invariant,travel,lex_superlative_pct,0.011851782272288872
y_top,invariant,travel,snippet_words_pct,0.005159631405241912
y_top,invariant,travel,snippet_has_year_pct,0.008982770627151008
y_top,invariant,travel,snippet_digit_share_pct,0.02306685329691277
y_top,invariant,travel,model_id,0.003149504565711355
y_top,invariant,vpn,in_search_results,0.0
y_top,invariant,vpn,volume_share,0.0047790840606086364
y_top,invariant,vpn,volume_vs_leader,0.2317857279617678
y_top,invariant,vpn,volume_rank_pct,0.4089304207316671
y_top,invariant,vpn,is_top_retrieved,-0.0073538466314976665
y_top,invariant,vpn,position_rank_pct,0.03856859190943899
y_top,invariant,vpn,share_official,0.0034592826464846516
y_top,invariant,vpn,share_editorial,-0.02230484055871884
y_top,invariant,vpn,share_affiliate,-0.0013958016198365453
y_top,invariant,vpn,share_forum,0.04474114051637227
y_top,invariant,vpn,share_retailer,-0.00011677892783682846
y_top,invariant,vpn,share_unknown,0.00013017984319485532
y_top,invariant,vpn,lex_authority_pct,-0.013548932928782712
y_top,invariant,vpn,lex_social_proof_pct,0.054552412589526034
y_top,invariant,vpn,lex_specificity_pct,0.017719500875371663
y_top,invariant,vpn,lex_hedging_pct,0.01491217155544522
y_top,invariant,vpn,lex_superlative_pct,-0.005798216649430772
y_top,invariant,vpn,snippet_words_pct,-0.002735996928214505
y_top,invariant,vpn,snippet_has_year_pct,-0.013258479214657873
y_top,invariant,vpn,snippet_digit_share_pct,0.007997589372314762
y_top,invariant,vpn,model_id,-0.005142785584210552
y_mention,general,editors,in_search_results,0.14525942404144346
y_mention,general,editors,n_results_mentioning,0.07598917128598552
y_mention,general,editors,best_position,-0.006774532030531688
y_mention,general,editors,best_position_missing,0.0
y_mention,general,editors,n_official,-0.0018491425477235035
y_mention,general,editors,n_editorial,-0.0001803177949583068
y_mention,general,editors,n_affiliate,-0.00034478626885895797
y_mention,general,editors,n_forum,-0.002878477865603727
y_mention,general,editors,n_retailer,0.0
y_mention,general,editors,n_unknown,-0.000759039094057834
y_mention,general,editors,lex_authority,-0.0001646759165690644
y_mention,general,editors,lex_social_proof,0.004476217078318023
y_mention,general,editors,lex_specificity,-1.30019781957591e-05
y_mention,general,editors,lex_hedging,0.00020831188510931722
y_mention,general,editors,lex_superlative,-0.003002887456642974
y_mention,general,editors,snippet_words,0.010421947757883262
y_mention,general,editors,snippet_has_year,-0.0005824388721735
y_mention,general,editors,snippet_digit_share,0.008679496635890072
y_mention,general,editors,model_id,0.009861265011982515
y_mention,general,hosting,in_search_results,-0.0006179864932022902
y_mention,general,hosting,n_results_mentioning,0.08490104552044564
y_mention,general,hosting,best_position,-0.0033547429720751643
y_mention,general,hosting,best_position_missing,0.0
y_mention,general,hosting,n_official,0.00010660829342142482
y_mention,general,hosting,n_editorial,-0.0006371936941183357
y_mention,general,hosting,n_affiliate,0.0003194439978298676
y_mention,general,hosting,n_forum,-0.006831748973662936
y_mention,general,hosting,n_retailer,0.0
y_mention,general,hosting,n_unknown,-0.0032818407358326343
y_mention,general,hosting,lex_authority,-3.7282132211620876e-05
y_mention,general,hosting,lex_social_proof,-0.00017936887846041008
y_mention,general,hosting,lex_specificity,-0.0032136693818652176
y_mention,general,hosting,lex_hedging,-0.0005042377861792513
y_mention,general,hosting,lex_superlative,-0.0003604490650009525
y_mention,general,hosting,snippet_words,0.06957708445774842
y_mention,general,hosting,snippet_has_year,0.0006219891495904776
y_mention,general,hosting,snippet_digit_share,-0.005189146382324261
y_mention,general,hosting,model_id,0.009383873136152151
y_mention,general,travel,in_search_results,-0.0032959049474741895
y_mention,general,travel,n_results_mentioning,0.07035598377195684
y_mention,general,travel,best_position,4.4181638310843613e-07
y_mention,general,travel,best_position_missing,0.0
y_mention,general,travel,n_official,-4.831178793366734e-05
y_mention,general,travel,n_editorial,-0.003374968066249965
y_mention,general,travel,n_affiliate,-0.002791282729649347
y_mention,general,travel,n_forum,-0.0005014817412936449
y_mention,general,travel,n_retailer,0.0
y_mention,general,travel,n_unknown,0.0018732232466301586
y_mention,general,travel,lex_authority,-0.0002756718962042178
y_mention,general,travel,lex_social_proof,0.0006712736280537849
y_mention,general,travel,lex_specificity,0.00025047153868340555
y_mention,general,travel,lex_hedging,-0.0008242190778787739
y_mention,general,travel,lex_superlative,-0.001653271301734575
y_mention,general,travel,snippet_words,0.09508497274414995
y_mention,general,travel,snippet_has_year,-0.0015729546406072121
y_mention,general,travel,snippet_digit_share,-0.004915264569455939
y_mention,general,travel,model_id,0.007581285759201177
y_mention,general,vpn,in_search_results,0.030945231740336105
y_mention,general,vpn,n_results_mentioning,0.2326577084841781
y_mention,general,vpn,best_position,0.005524132355750407
y_mention,general,vpn,best_position_missing,0.0
y_mention,general,vpn,n_official,0.009326115533339582
y_mention,general,vpn,n_editorial,-0.011718477467752083
y_mention,general,vpn,n_affiliate,-0.003132574492221781
y_mention,general,vpn,n_forum,0.008561427370749497
y_mention,general,vpn,n_retailer,1.675309720132005e-05
y_mention,general,vpn,n_unknown,0.0028751009957761107
y_mention,general,vpn,lex_authority,-0.0019676558831447366
y_mention,general,vpn,lex_social_proof,0.00041983985492333176
y_mention,general,vpn,lex_specificity,-0.0065234593146515545
y_mention,general,vpn,lex_hedging,-0.001013717403436476
y_mention,general,vpn,lex_superlative,0.0023880289716405136
y_mention,general,vpn,snippet_words,0.12779797334571588
y_mention,general,vpn,snippet_has_year,-0.001282428949403965
y_mention,general,vpn,snippet_digit_share,-0.00036174617754602956
y_mention,general,vpn,model_id,0.007883171393469057
y_mention,invariant,editors,in_search_results,0.0
y_mention,invariant,editors,volume_share,0.09746433078992027
y_mention,invariant,editors,volume_vs_leader,0.054094894348509004
y_mention,invariant,editors,volume_rank_pct,0.03485603635048621
y_mention,invariant,editors,is_top_retrieved,-0.000742001108296401
y_mention,invariant,editors,position_rank_pct,0.0009622840695740301
y_mention,invariant,editors,share_official,0.0017194828878201636
y_mention,invariant,editors,share_editorial,-5.432526798798687e-05
y_mention,invariant,editors,share_affiliate,8.664754799214691e-05
y_mention,invariant,editors,share_forum,-4.086362642511757e-05
y_mention,invariant,editors,share_retailer,0.0
y_mention,invariant,editors,share_unknown,-0.0013932025020941448
y_mention,invariant,editors,lex_authority_pct,-0.0022923741721209514
y_mention,invariant,editors,lex_social_proof_pct,0.005366442067313256
y_mention,invariant,editors,lex_specificity_pct,-0.0026264206741613005
y_mention,invariant,editors,lex_hedging_pct,-0.0007314145470620851
y_mention,invariant,editors,lex_superlative_pct,0.0013002407462278098
y_mention,invariant,editors,snippet_words_pct,-0.003112895346837489
y_mention,invariant,editors,snippet_has_year_pct,-0.0013367893368019617
y_mention,invariant,editors,snippet_digit_share_pct,0.00131212043383185
y_mention,invariant,editors,model_id,0.005710775118009326
y_mention,invariant,hosting,in_search_results,0.0
y_mention,invariant,hosting,volume_share,0.019515387902277064
y_mention,invariant,hosting,volume_vs_leader,0.131011013189993
y_mention,invariant,hosting,volume_rank_pct,0.02925785659630938
y_mention,invariant,hosting,is_top_retrieved,-0.0003677084796912533
y_mention,invariant,hosting,position_rank_pct,0.0025949544079580575
y_mention,invariant,hosting,share_official,0.004102238340604784
y_mention,invariant,hosting,share_editorial,-0.0005139784049624044
y_mention,invariant,hosting,share_affiliate,-0.0010254845728920141
y_mention,invariant,hosting,share_forum,0.0007918908654663825
y_mention,invariant,hosting,share_retailer,0.0
y_mention,invariant,hosting,share_unknown,-0.0002520106069409482
y_mention,invariant,hosting,lex_authority_pct,0.0008455389857450202
y_mention,invariant,hosting,lex_social_proof_pct,-0.00016346720607411194
y_mention,invariant,hosting,lex_specificity_pct,0.001293127033235808
y_mention,invariant,hosting,lex_hedging_pct,0.00025066042018858276
y_mention,invariant,hosting,lex_superlative_pct,7.138280474738856e-05
y_mention,invariant,hosting,snippet_words_pct,0.002229947538365251
