track,domain,target,comparison,a,b,independent_query_groups,delta_pr_auc,delta_pr_auc_lo,delta_pr_auc_hi,delta_top1,delta_top1_lo,delta_top1_hi,delta_ndcg@3,delta_ndcg@3_lo,delta_ndcg@3_hi
en,editors,y_top,transfer_gap,general_seen,general_unseen,10.0,0.318206582428841,0.21273280705491374,0.3932687045085177,0.2014719411223551,0.10795080279950597,0.2873082111206963,0.11720977428045465,0.07948002825610608,0.15609211394143102
en,editors,y_top,prior_dependence,M2_full,general_seen,10.0,0.18174610072994568,0.05963144439811945,0.28265801396455476,0.20975160993560257,0.11375863021264844,0.29981499051233396,0.121350482974106,0.05611609569792219,0.17718277574330354
en,editors,y_top,unseen_vs_position,general_unseen,naive_position,10.0,0.11952066037785952,0.04913830682817214,0.1933678188093397,0.16191352345906163,0.017150981063365614,0.3085764520610359,0.18026739767380906,0.07428158819774136,0.2682906166502382
en,editors,y_top,invariant_transfer_gap,invariant_seen,invariant_unseen,10.0,0.04127224492424608,-0.018803776650210376,0.0880801602287122,0.014719411223551058,0.003774378575156509,0.028070173451263267,0.016952983079248862,0.008906224601117963,0.026332642595075655
en,editors,y_top,invariant_vs_general_unseen,invariant_unseen,general_unseen,10.0,0.3276047455623054,0.21992820310125047,0.43929210063255786,0.19411223551057957,0.10754296934746034,0.2748911117575501,0.10249123734393117,0.06722392110314916,0.13999814179835113
en,hosting,y_top,transfer_gap,general_seen,general_unseen,10.0,-0.0019966707935017147,-0.020523876620506625,0.017126851333492902,0.055782312925170066,0.022191886736099738,0.09922284378983147,0.03356052170067969,0.010290216949988298,0.05427484246517587
en,hosting,y_top,prior_dependence,M2_full,general_seen,10.0,0.07912552749388277,-0.00707878654756933,0.15533457875733286,0.06258503401360545,-0.10911337919837828,0.23191359257225574,0.07669131958697911,-0.017241281030369336,0.1566318353483262
en,hosting,y_top,unseen_vs_position,general_unseen,naive_position,10.0,0.02925071696060147,-0.017177521010834678,0.14450788497381745,0.0326530612244898,-0.06775209319257372,0.15595012014572507,0.063458930728864,-0.02675622680983108,0.18165087363636453
en,hosting,y_top,invariant_transfer_gap,invariant_seen,invariant_unseen,10.0,-0.008468543892179603,-0.03707793695228554,0.025234088953974124,-0.0027210884353741495,-0.017446248703400433,0.010881514030218921,0.0002594591350822961,-0.009465527440475867,0.011726503415075258
en,hosting,y_top,invariant_vs_general_unseen,invariant_unseen,general_unseen,10.0,0.09780931276897353,0.028077861506262538,0.18953803782007925,0.11836734693877551,0.0546973409801877,0.20706146120308092,0.08407879347424624,0.0461373853548802,0.12415837768995647
en,travel,y_top,transfer_gap,general_seen,general_unseen,10.0,0.03816798418141948,-0.02829066969970205,0.17830429416382565,0.015604681404421327,-0.1567055934242181,0.16892223753962538,0.0029425355749567172,-0.11727075432003772,0.09034747985754185
en,travel,y_top,prior_dependence,M2_full,general_seen,10.0,0.2668504397774569,0.10059286215469644,0.5894764796154662,0.3094928478543563,0.13646098842078433,0.5285423456364869,0.21447430904699638,0.08127272887646758,0.37148142150517255
en,travel,y_top,unseen_vs_position,general_unseen,naive_position,10.0,0.04918127598742772,-0.06000337742092318,0.18629101636518203,0.13133940182054615,-0.06304134013155824,0.3283398227712137,0.1048356242801417,-0.030462868972907228,0.2430316787119117
en,travel,y_top,invariant_transfer_gap,invariant_seen,invariant_unseen,10.0,0.02418351064958918,-0.006451509422807484,0.11338026569778427,0.02340702210663199,-0.017812384130515387,0.07049508309727173,0.014351175157904072,-0.008140976275713873,0.038751171177544605
en,travel,y_top,invariant_vs_general_unseen,invariant_unseen,general_unseen,10.0,0.1125883360103217,0.030347157453964744,0.29790060791157746,0.06501950585175553,-0.021821475625823445,0.18286308332049894,0.0685641167889659,0.019959558920838994,0.12895721061124288
en,vpn,y_top,transfer_gap,general_seen,general_unseen,10.0,0.2757274141556809,0.1846203352398945,0.3803894023849239,0.2953846153846154,0.1901792556102901,0.41586199911828126,0.17791466395237765,0.11928981372842994,0.23316791136021495
en,vpn,y_top,prior_dependence,M2_full,general_seen,10.0,0.15598480272156479,-0.005102130971591286,0.26588847996611503,-0.0041025641025641026,-0.1669142826868866,0.150609554081017,0.06269644005494768,-0.05182039145645513,0.17176285682333317
en,vpn,y_top,unseen_vs_position,general_unseen,naive_position,10.0,0.0634291687235908,0.01826003515726498,0.11019941528105305,0.057435897435897436,-0.057721760197544665,0.16382709807886753,0.10555344366666913,-0.006424141129655237,0.2065872552590372
en,vpn,y_top,invariant_transfer_gap,invariant_seen,invariant_unseen,10.0,0.13508853245352126,0.060826309254852204,0.19320495652569733,0.0041025641025641026,-0.042224779655307916,0.03352032492856591,0.01047632972161161,-0.013007495568198598,0.02944244239117384
en,vpn,y_top,invariant_vs_general_unseen,invariant_unseen,general_unseen,10.0,0.30955938738270117,0.20491602048425972,0.43260877077435056,0.29846153846153844,0.21128012663398693,0.4099078395418352,0.20448304712453957,0.15682703942528226,0.24857555799521674
tr,cosmetics,y_top,en_transfer_vs_tr_trained,general_en_transfer,general_seen,3.0,0.008820631371178056,-0.011360808728762758,0.15639683734621262,0.08333333333333333,-0.08333333333333333,0.4,0.05158918720237854,-0.041666666666666664,0.2738140492857085
tr,cosmetics,y_top,en_transfer_vs_position,general_en_transfer,naive_position,3.0,0.03480898722643211,-0.02695992878941253,0.11836562605936729,0.041666666666666664,-0.08333333333333333,0.2,0.0942441461309548,-0.08333333333333334,0.3261859507142915
tr,cosmetics,y_top,invariant_en_transfer_vs_position,invariant_en_transfer,naive_position,3.0,0.09371431722657331,0.025202321314454323,0.36245425693541544,0.08333333333333333,0.0,0.2,0.14682162559524295,0.01091081279762146,0.3261859507142915
