track,domain,target,model,n_pairs,n_responses,positive_rate,pr_auc,roc_auc,top1,ndcg@3,brier,pr_auc_lo,pr_auc_hi,top1_lo,top1_hi,ndcg@3_lo,ndcg@3_hi,independent_query_groups
en,editors,y_top,naive_position,32610,1087,0.03333333333333333,0.22833168374288126,0.9041870276462615,0.31922723091076355,0.525567811502832,0.09418666871111102,0.1853768458911789,0.2908244124028798,0.234854609929078,0.4180168242696296,0.44668313965088613,0.6222164787229669,10
en,editors,y_top,general_seen,32610,1087,0.03333333333333333,0.6660589265495818,0.9591025679151751,0.6826126954921803,0.8230449834570961,0.017502447733648573,0.5288796073466752,0.7742196964032331,0.5297082942653196,0.8124207324175631,0.7692253510098795,0.8799096553974577,10
en,editors,y_top,general_unseen,32610,1087,0.03333333333333333,0.3478523441207408,0.9355113179287821,0.48114075436982523,0.7058352091766414,0.025729977037176627,0.29116352227816195,0.4442812838249003,0.3883536173089926,0.588686224750834,0.6438487050812695,0.7646514329559104,10
en,editors,y_top,invariant_seen,32610,1087,0.03333333333333333,0.7167293346072923,0.9843889339309531,0.6899724011039559,0.8252794295998214,0.014202968541584923,0.5697943994655015,0.871854923617479,0.5546033170753737,0.8002022200612984,0.7701416729400071,0.8857945632307788,10
en,editors,y_top,invariant_unseen,32610,1087,0.03333333333333333,0.6754570896830462,0.9765814018011878,0.6752529898804048,0.8083264465205723,0.016855569927680662,0.5418622632468771,0.8116663077942966,0.5452915424739195,0.7820592388443055,0.7481865022908591,0.8707308943664775,10
en,editors,y_top,M2_full,32610,1087,0.03333333333333333,0.8478050272795274,0.9935353929306331,0.8923643054277829,0.9443954664312019,0.007392313574665129,0.6594912169108383,0.9997792611513955,0.7699101170568562,1.0,0.8792369475935519,1.0,10
en,hosting,y_top,naive_position,26460,735,0.027777777777777776,0.1628422790613717,0.914230234756682,0.1945578231292517,0.38799390031584596,0.1268770255979807,0.13708191622581248,0.19807130682768287,0.14190504780461283,0.25701830573274875,0.3123101756585419,0.4610672214164722,10
en,hosting,y_top,general_seen,26460,735,0.027777777777777776,0.19009632522847145,0.8980351837528014,0.2829931972789116,0.4850133527453896,0.024665310823311373,0.13939311139371158,0.2989579283937577,0.1743440647732201,0.43588328513133373,0.3688592567625151,0.6335560311048128,10
en,hosting,y_top,general_unseen,26460,735,0.027777777777777776,0.19209299602197316,0.8856035382082863,0.2272108843537415,0.4514528310447099,0.024946047569849455,0.13894181399656647,0.3163558125408783,0.14560298935298935,0.3492371818509006,0.3426683266696731,0.5874916572304165,10
en,hosting,y_top,invariant_seen,26460,735,0.027777777777777776,0.2814337648987671,0.9380613633208386,0.34285714285714286,0.5357910836540385,0.02325886512093574,0.18678626181537267,0.47152308958519923,0.2057706816626221,0.5399506805370737,0.4049124806058267,0.6897297911430278,10
