scope,contrast,arm,baseline,metric,cells,baseline_rate,arm_rate,effect,effect_lo,effect_hi
ALL,Bağımsız bir sonuçta görünmek (0 → 1),neutral_p5,control,mentioned,30,0.020833333333333332,0.3333333333333333,0.3125,0.19166666666666668,0.44166666666666665
ALL,Bağımsız bir sonuçta görünmek (0 → 1),neutral_p5,control,first,30,0.0,0.0,0.0,0.0,0.0
ALL,Sıra: 5 → 1,neutral_p1,neutral_p5,mentioned,30,0.3333333333333333,0.6458333333333334,0.3125,0.19166666666666668,0.44166666666666665
ALL,Sıra: 5 → 1,neutral_p1,neutral_p5,first,30,0.0,0.0,0.0,0.0,0.0
ALL,Dil: üstünlük iddiası vs tarafsız,superlative_p5,neutral_p5,mentioned,30,0.3333333333333333,0.3958333333333333,0.0625,-0.004270833333333327,0.14166666666666666
ALL,Dil: üstünlük iddiası vs tarafsız,superlative_p5,neutral_p5,first,30,0.0,0.0,0.0,0.0,0.0
ALL,Hacim: 1 → 2 sonuç,neutral_p5_p8,neutral_p5,mentioned,30,0.3333333333333333,0.3958333333333333,0.0625,-0.004166666666666667,0.1375
ALL,Hacim: 1 → 2 sonuç,neutral_p5_p8,neutral_p5,first,30,0.0,0.0,0.0,0.0,0.0
vpn,Bağımsız bir sonuçta görünmek (0 → 1),neutral_p5,control,mentioned,10,0.0125,0.35,0.3375,0.125,0.575
vpn,Bağımsız bir sonuçta görünmek (0 → 1),neutral_p5,control,first,10,0.0,0.0,0.0,0.0,0.0
vpn,Sıra: 5 → 1,neutral_p1,neutral_p5,mentioned,10,0.35,0.7,0.35,0.125,0.5875
vpn,Sıra: 5 → 1,neutral_p1,neutral_p5,first,10,0.0,0.0,0.0,0.0,0.0
vpn,Dil: üstünlük iddiası vs tarafsız,superlative_p5,neutral_p5,mentioned,10,0.35,0.5125,0.1625,-0.025,0.3625
vpn,Dil: üstünlük iddiası vs tarafsız,superlative_p5,neutral_p5,first,10,0.0,0.0,0.0,0.0,0.0
vpn,Hacim: 1 → 2 sonuç,neutral_p5_p8,neutral_p5,mentioned,10,0.35,0.4375,0.0875,-0.025,0.2375
vpn,Hacim: 1 → 2 sonuç,neutral_p5_p8,neutral_p5,first,10,0.0,0.0,0.0,0.0,0.0
hosting,Bağımsız bir sonuçta görünmek (0 → 1),neutral_p5,control,mentioned,10,0.05,0.5625,0.5125,0.2875,0.7375
hosting,Bağımsız bir sonuçta görünmek (0 → 1),neutral_p5,control,first,10,0.0,0.0,0.0,0.0,0.0
hosting,Sıra: 5 → 1,neutral_p1,neutral_p5,mentioned,10,0.5625,0.7625,0.2,0.05,0.3875
hosting,Sıra: 5 → 1,neutral_p1,neutral_p5,first,10,0.0,0.0,0.0,0.0,0.0
hosting,Dil: üstünlük iddiası vs tarafsız,superlative_p5,neutral_p5,mentioned,10,0.5625,0.6,0.0375,-0.0125,0.0875
hosting,Dil: üstünlük iddiası vs tarafsız,superlative_p5,neutral_p5,first,10,0.0,0.0,0.0,0.0,0.0
hosting,Hacim: 1 → 2 sonuç,neutral_p5_p8,neutral_p5,mentioned,10,0.5625,0.5625,0.0,-0.0625,0.05
hosting,Hacim: 1 → 2 sonuç,neutral_p5_p8,neutral_p5,first,10,0.0,0.0,0.0,0.0,0.0
travel,Bağımsız bir sonuçta görünmek (0 → 1),neutral_p5,control,mentioned,10,0.0,0.0875,0.0875,0.0125,0.175
travel,Bağımsız bir sonuçta görünmek (0 → 1),neutral_p5,control,first,10,0.0,0.0,0.0,0.0,0.0
travel,Sıra: 5 → 1,neutral_p1,neutral_p5,mentioned,10,0.0875,0.475,0.3875,0.1625,0.6125
travel,Sıra: 5 → 1,neutral_p1,neutral_p5,first,10,0.0,0.0,0.0,0.0,0.0
travel,Dil: üstünlük iddiası vs tarafsız,superlative_p5,neutral_p5,mentioned,10,0.0875,0.075,-0.0125,-0.05,0.025
travel,Dil: üstünlük iddiası vs tarafsız,superlative_p5,neutral_p5,first,10,0.0,0.0,0.0,0.0,0.0
travel,Hacim: 1 → 2 sonuç,neutral_p5_p8,neutral_p5,mentioned,10,0.0875,0.1875,0.1,-0.0125,0.2625
travel,Hacim: 1 → 2 sonuç,neutral_p5_p8,neutral_p5,first,10,0.0,0.0,0.0,0.0,0.0
