sector,query_id,target,arm,rep,mentioned,first,prompt_tokens,completion_tokens
vpn,vpn_01,Private Internet Access,control,0,0,0,961,236
vpn,vpn_01,Windscribe,control,0,0,0,961,236
vpn,vpn_01,Private Internet Access,neutral_p5,0,0,0,1054,256
vpn,vpn_01,Private Internet Access,neutral_p1,0,1,0,1054,294
vpn,vpn_01,Private Internet Access,superlative_p5,0,1,0,1066,263
vpn,vpn_01,Private Internet Access,neutral_p5_p8,0,0,0,1147,227
vpn,vpn_01,Windscribe,neutral_p5,0,0,0,1051,198
vpn,vpn_01,Windscribe,neutral_p1,0,1,0,1051,252
vpn,vpn_01,Windscribe,superlative_p5,0,0,0,1063,226
vpn,vpn_01,Windscribe,neutral_p5_p8,0,0,0,1141,236
vpn,vpn_01,Private Internet Access,control,1,0,0,961,214
vpn,vpn_01,Windscribe,control,1,0,0,961,214
vpn,vpn_01,Private Internet Access,neutral_p5,1,0,0,1054,277
vpn,vpn_01,Private Internet Access,neutral_p1,1,1,0,1054,269
vpn,vpn_01,Private Internet Access,superlative_p5,1,1,0,1066,321
vpn,vpn_01,Private Internet Access,neutral_p5_p8,1,0,0,1147,290
vpn,vpn_01,Windscribe,neutral_p5,1,0,0,1051,242
vpn,vpn_01,Windscribe,neutral_p1,1,1,0,1051,254
vpn,vpn_01,Windscribe,superlative_p5,1,1,0,1063,277
vpn,vpn_01,Windscribe,neutral_p5_p8,1,0,0,1141,244
vpn,vpn_01,Private Internet Access,control,2,0,0,961,290
vpn,vpn_01,Windscribe,control,2,0,0,961,290
vpn,vpn_01,Private Internet Access,neutral_p5,2,1,0,1054,480
vpn,vpn_01,Private Internet Access,neutral_p1,2,1,0,1054,231
vpn,vpn_01,Private Internet Access,superlative_p5,2,1,0,1066,407
vpn,vpn_01,Private Internet Access,neutral_p5_p8,2,0,0,1147,228
vpn,vpn_01,Windscribe,neutral_p5,2,0,0,1051,327
vpn,vpn_01,Windscribe,neutral_p1,2,1,0,1051,236
vpn,vpn_01,Windscribe,superlative_p5,2,0,0,1063,250
vpn,vpn_01,Windscribe,neutral_p5_p8,2,0,0,1141,268
vpn,vpn_01,Private Internet Access,control,3,0,0,961,213
vpn,vpn_01,Windscribe,control,3,0,0,961,213
vpn,vpn_01,Private Internet Access,neutral_p5,3,1,0,1054,292
vpn,vpn_01,Private Internet Access,neutral_p1,3,1,0,1054,326
vpn,vpn_01,Private Internet Access,superlative_p5,3,1,0,1066,275
vpn,vpn_01,Private Internet Access,neutral_p5_p8,3,0,0,1147,228
vpn,vpn_01,Windscribe,neutral_p5,3,0,0,1051,323
vpn,vpn_01,Windscribe,neutral_p1,3,1,0,1051,256
vpn,vpn_01,Windscribe,superlative_p5,3,0,0,1063,229
vpn,vpn_01,Windscribe,neutral_p5_p8,3,0,0,1141,268
vpn,vpn_01,Private Internet Access,control,4,0,0,961,277
vpn,vpn_01,Windscribe,control,4,0,0,961,277
vpn,vpn_01,Private Internet Access,neutral_p5,4,0,0,1054,352
vpn,vpn_01,Private Internet Access,neutral_p1,4,1,0,1054,262
vpn,vpn_01,Private Internet Access,superlative_p5,4,1,0,1066,312
vpn,vpn_01,Private Internet Access,neutral_p5_p8,4,0,0,1147,420
vpn,vpn_01,Windscribe,neutral_p5,4,0,0,1051,222
vpn,vpn_01,Windscribe,neutral_p1,4,1,0,1051,267
vpn,vpn_01,Windscribe,superlative_p5,4,1,0,1063,291
vpn,vpn_01,Windscribe,neutral_p5_p8,4,0,0,1141,290
vpn,vpn_01,Private Internet Access,control,5,0,0,961,234
vpn,vpn_01,Windscribe,control,5,0,0,961,234
vpn,vpn_01,Private Internet Access,neutral_p5,5,0,0,1054,424
vpn,vpn_01,Private Internet Access,neutral_p1,5,1,0,1054,260
vpn,vpn_01,Private Internet Access,superlative_p5,5,1,0,1066,441
vpn,vpn_01,Private Internet Access,neutral_p5_p8,5,0,0,1147,239
vpn,vpn_01,Windscribe,neutral_p5,5,0,0,1051,284
vpn,vpn_01,Windscribe,neutral_p1,5,1,0,1051,252
vpn,vpn_01,Windscribe,superlative_p5,5,1,0,1063,239
vpn,vpn_01,Windscribe,neutral_p5_p8,5,0,0,1141,217
vpn,vpn_01,Private Internet Access,control,6,0,0,961,266
vpn,vpn_01,Windscribe,control,6,0,0,961,266
vpn,vpn_01,Private Internet Access,neutral_p5,6,0,0,1054,342
vpn,vpn_01,Private Internet Access,neutral_p1,6,1,0,1054,280
vpn,vpn_01,Private Internet Access,superlative_p5,6,1,0,1066,373
vpn,vpn_01,Private Internet Access,neutral_p5_p8,6,0,0,1147,251
vpn,vpn_01,Windscribe,neutral_p5,6,0,0,1051,334
vpn,vpn_01,Windscribe,neutral_p1,6,1,0,1051,244
vpn,vpn_01,Windscribe,superlative_p5,6,1,0,1063,244
vpn,vpn_01,Windscribe,neutral_p5_p8,6,0,0,1141,282
vpn,vpn_01,Private Internet Access,control,7,0,0,961,213
vpn,vpn_01,Windscribe,control,7,0,0,961,213
vpn,vpn_01,Private Internet Access,neutral_p5,7,0,0,1054,237
vpn,vpn_01,Private Internet Access,neutral_p1,7,1,0,1054,269
vpn,vpn_01,Private Internet Access,superlative_p5,7,1,0,1066,298
vpn,vpn_01,Private Internet Access,neutral_p5_p8,7,0,0,1147,250
vpn,vpn_01,Windscribe,neutral_p5,7,0,0,1051,234
