track,category,condition,brand,responses,mentions,asov,wins,win_rate
en,editors,search_off,VS Code,1200,1169,0.9741666666666666,975,0.8125
en,editors,search_off,JetBrains,1200,725,0.6041666666666666,0,0.0
en,editors,search_off,IntelliJ IDEA,1200,780,0.65,0,0.0
en,editors,search_off,PyCharm,1200,793,0.6608333333333334,19,0.015833333333333335
en,editors,search_off,Visual Studio,1200,304,0.25333333333333335,0,0.0
en,editors,search_off,Vim,1200,677,0.5641666666666667,0,0.0
en,editors,search_off,Neovim,1200,980,0.8166666666666667,13,0.010833333333333334
en,editors,search_off,Emacs,1200,390,0.325,0,0.0
en,editors,search_off,Sublime Text,1200,749,0.6241666666666666,13,0.010833333333333334
en,editors,search_off,Zed,1200,492,0.41,5,0.004166666666666667
en,editors,search_off,Helix,1200,141,0.1175,0,0.0
en,editors,search_off,Notepad++,1200,117,0.0975,0,0.0
en,editors,search_off,Xcode,1200,199,0.16583333333333333,0,0.0
en,editors,search_off,WebStorm,1200,436,0.36333333333333334,0,0.0
en,editors,search_off,Atom,1200,78,0.065,0,0.0
en,editors,search_off,Cursor,1200,245,0.20416666666666666,18,0.015
en,editors,search_off,JupyterLab,1200,99,0.0825,0,0.0
en,editors,search_off,Spyder,1200,66,0.055,0,0.0
en,editors,search_off,Thonny,1200,166,0.13833333333333334,0,0.0
en,editors,search_off,Android Studio,1200,120,0.1,0,0.0
en,editors,search_off,GitHub Copilot,1200,167,0.13916666666666666,0,0.0
en,editors,search_off,Rider,1200,143,0.11916666666666667,0,0.0
en,editors,search_off,Eclipse,1200,89,0.07416666666666667,0,0.0
en,editors,search_off,GoLand,1200,77,0.06416666666666666,0,0.0
en,editors,search_off,Kate,1200,38,0.03166666666666667,0,0.0
en,editors,search_off,CLion,1200,126,0.105,0,0.0
en,editors,search_off,Nova,1200,33,0.0275,0,0.0
en,editors,search_off,BBEdit,1200,6,0.005,0,0.0
en,editors,search_off,Windsurf,1200,27,0.0225,0,0.0
en,editors,search_off,IDLE,1200,1,0.0008333333333333334,0,0.0
en,editors,search_on,VS Code,1200,1197,0.9975,970,0.8083333333333333
en,editors,search_on,Sublime Text,1200,747,0.6225,35,0.029166666666666667
en,editors,search_on,Vim,1200,575,0.4791666666666667,0,0.0
en,editors,search_on,Neovim,1200,905,0.7541666666666667,5,0.004166666666666667
en,editors,search_on,Zed,1200,625,0.5208333333333334,7,0.005833333333333334
en,editors,search_on,Notepad++,1200,334,0.2783333333333333,0,0.0
en,editors,search_on,Cursor,1200,382,0.31833333333333336,25,0.020833333333333332
