feature,mean_abs_shap,track,target
prior_top_all,2.6753870684715704,en,y_top
prior_top_off,0.9471426674998658,en,y_top
model_id,0.44710208897610954,en,y_top
condition,0.2936421271081873,en,y_top
prior_mention_all,0.266233838863196,en,y_top
prior_mention_off,0.13009893692724317,en,y_top
best_position,0.12841409202683643,en,y_top
n_other,0.12334618751988145,en,y_top
snippet_digit_share,0.11170358074134355,en,y_top
n_results_mentioning,0.10247892131102508,en,y_top
category,0.06816822238229876,en,y_top
snippet_words,0.051318691903800624,en,y_top
lex_superlative,0.04500985979301151,en,y_top
lex_specificity,0.0254000068794228,en,y_top
in_search_results,0.014976356165377291,en,y_top
lex_authority,0.012801542886293853,en,y_top
n_forum,0.011657129066469906,en,y_top
n_official,0.010016175513629879,en,y_top
n_editorial,0.008854390505682477,en,y_top
n_affiliate,0.006900580355857561,en,y_top
lex_social_proof,0.005421810651242954,en,y_top
snippet_has_year,0.0037381517744880946,en,y_top
lex_hedging,0.003000564050191456,en,y_top
best_position_missing,6.50620440547174e-05,en,y_top
prior_top_all,1.7253126931102498,tr,y_top
condition,0.8943820533544986,tr,y_top
model_id,0.8553948476229452,tr,y_top
prior_top_off,0.6314125758383224,tr,y_top
prior_mention_all,0.6057987864793364,tr,y_top
prior_mention_off,0.18108762070635231,tr,y_top
best_position,0.16380487792873866,tr,y_top
snippet_words,0.15067649749924703,tr,y_top
n_results_mentioning,0.1234083411061737,tr,y_top
category,0.10356521131752684,tr,y_top
snippet_digit_share,0.06683117160676413,tr,y_top
lex_superlative,0.056081749515904805,tr,y_top
snippet_has_year,0.03947105430245209,tr,y_top
n_editorial,0.03824646616917263,tr,y_top
n_other,0.02873082505454123,tr,y_top
lex_authority,0.012414227324944358,tr,y_top
n_official,0.011130517978480742,tr,y_top
n_forum,0.009374902713434448,tr,y_top
n_affiliate,0.00857149914507594,tr,y_top
best_position_missing,0.008275920400593785,tr,y_top
lex_specificity,0.00597135013844112,tr,y_top
in_search_results,0.003379607142062706,tr,y_top
lex_social_proof,0.0,tr,y_top
lex_hedging,0.0,tr,y_top
