track,category,target,model,n_pairs,n_responses,positive_rate,pr_auc,roc_auc,top1,ndcg@3,brier,pr_auc_lo,pr_auc_hi,top1_lo,top1_hi
tr,ALL,y_top,naive_position,4894,136,0.027789129546383327,0.0850453213964063,0.6768785698390327,0.08823529411764706,0.16036248188025426,0.056899705444771555,,,,
tr,ALL,y_top,naive_frequency,4894,136,0.027789129546383327,0.16628438974046517,0.8706072435279284,0.21323529411764705,0.42349173571428916,0.024415875270259436,,,,
tr,ALL,y_top,M0,4894,136,0.027789129546383327,0.1976811179517005,0.9013719926810574,0.3014705882352941,0.4321562047006356,0.07802801814301465,,,,
tr,ALL,y_top,M1,4894,136,0.027789129546383327,0.23357565932449864,0.9006309806394184,0.3088235294117647,0.4468620870535768,0.07695207723260726,,,,
tr,ALL,y_top,M2,4894,136,0.027789129546383327,0.22973540236147386,0.8899593254704152,0.3382352941176471,0.48599173571428916,0.05078172975244839,,,,
tr,cosmetics,y_top,naive_position,3108,42,0.013513513513513514,0.047139663569683854,0.636970770043177,0.07142857142857142,0.09835547032312994,0.03126100499187234,0.025026179537262425,0.10526680526680526,0.0,0.2
tr,cosmetics,y_top,naive_frequency,3108,42,0.013513513513513514,0.1597120581875417,0.8196541173547044,0.19047619047619047,0.4115613933673511,0.01218389192866453,0.10510510510510511,0.2643531105069567,0.07692307692307693,0.25
tr,cosmetics,y_top,M0,3108,42,0.013513513513513514,0.21062597817219234,0.847987140061504,0.42857142857142855,0.5337263875000049,0.02914264767800354,0.1368835769925884,0.7525187909803295,0.2,0.8461538461538461
tr,cosmetics,y_top,M1,3108,42,0.013513513513513514,0.2361869113196505,0.848833597365887,0.42857142857142855,0.5337263875000049,0.027727433394350905,0.16353783052440496,0.7097751775889427,0.2,0.8461538461538461
tr,cosmetics,y_top,M2,3108,42,0.013513513513513514,0.13981165605705065,0.8072717671543503,0.23809523809523808,0.3489202087585068,0.026982107138840212,0.11234447769204121,0.4642857142857143,0.20833333333333334,0.4
tr,vpn,y_top,naive_position,1786,94,0.05263157894736842,0.11428770873538328,0.6645415220562345,0.09574468085106383,0.18806774236322468,0.10151621216795789,0.10420802422572104,0.1260525277248444,0.04612359550561798,0.1346153846153846
tr,vpn,y_top,naive_frequency,1786,94,0.05263157894736842,0.17867232674853156,0.8603503344902168,0.22340425531914893,0.42882231420972955,0.04570199185798451,0.15873593607616954,0.2832845625259824,0.046511627906976744,0.48148148148148145
tr,vpn,y_top,M0,1786,94,0.05263157894736842,0.22016790973213696,0.8897188270207737,0.24468085106382978,0.3867737825987898,0.1630984164662255,0.16553569290890252,0.4878905038228114,0.029411764705882353,0.547945205479452
tr,vpn,y_top,M1,1786,94,0.05263157894736842,0.2508524935335835,0.888382752376641,0.2553191489361702,0.40805037834347063,0.16261287961183504,0.15008375841116664,0.4848256385910848,0.06862745098039216,0.5222222222222223
tr,vpn,y_top,M2,1786,94,0.05263157894736842,0.2836977203062814,0.897703837835119,0.3829787234042553,0.5472364605243195,0.09219787033648771,0.21464389348764248,0.4103481708628931,0.29341674993187394,0.4537037037037037
tr,ALL,y_mention,naive_position,13950,300,0.13584229390681005,0.28241140797370257,0.648957230985074,,0.24890497652159935,0.11820114185791136,,,,
